Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,36.500000,37.250000,36.410000,36.830002,36.052635,1084600
2020-02-04,37.270000,37.570000,36.990002,37.400002,36.610603,1072200
2020-02-05,37.810001,38.209999,37.450001,37.930000,37.129414,1984500
2020-02-06,38.259998,38.439999,36.180000,36.500000,35.729603,2530200
2020-02-07,36.450001,36.459999,35.889999,36.369999,35.602345,1047900
2020-02-10,36.220001,36.845001,36.099998,36.779999,36.003689,1442000
2020-02-11,36.849998,36.849998,36.180000,36.610001,35.837276,926900
2020-02-12,36.770000,37.220001,36.720001,37.160000,36.375671,907700
2020-02-13,36.950001,37.740002,36.950001,37.520000,36.728069,1059400
2020-02-14,37.529999,37.590000,37.000000,37.310001,36.522507,750500
2020-02-18,37.259998,37.404999,36.939999,37.220001,36.434402,965600
2020-02-19,37.240002,37.720001,37.099998,37.529999,36.737858,674100
2020-02-20,37.180000,37.340000,35.900002,36.540001,35.768757,1605200
2020-02-21,36.290001,36.840000,35.480000,35.500000,34.750702,1593500
2020-02-24,35.270000,35.439999,34.090000,34.270000,33.546673,1503900
2020-02-25,34.410000,34.549999,32.645000,32.830002,32.137062,1922800
2020-02-26,33.360001,33.410000,32.080002,32.400002,31.716141,2761100
2020-02-27,31.990000,32.560001,30.990000,30.990000,30.335899,2763400
2020-02-28,30.200001,31.320000,29.860001,30.450001,29.807297,3917400
2020-03-02,30.480000,31.790001,30.070000,31.790001,31.119015,2871300
2020-03-03,31.190001,32.279999,30.340000,30.709999,30.280890,4065400
2020-03-04,31.040001,31.270000,30.129999,30.670000,30.241449,2778700
2020-03-05,29.830000,30.040001,28.910000,29.120001,28.713108,2206300
2020-03-06,27.709999,28.790001,27.549999,28.520000,28.121492,2821300
2020-03-09,26.750000,27.629999,26.379999,27.129999,26.750914,4129700
2020-03-10,27.959999,28.980000,26.770000,28.760000,28.358139,3554900
2020-03-11,27.820000,28.280001,27.299999,27.520000,27.135466,3077300
2020-03-12,26.549999,26.660000,24.290001,25.559999,25.202850,3106700
2020-03-13,26.400000,27.780001,24.243000,25.379999,25.025366,2710400
2020-03-16,23.299999,24.379999,22.680000,23.190001,22.865969,3320300
2020-03-17,23.500000,24.440001,22.170000,23.790001,23.457584,3157000
2020-03-18,22.540001,23.260000,20.639999,21.410000,21.110838,3549300
2020-03-19,21.430000,22.730000,20.100000,21.940001,21.633432,2025500
