Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,59.610001,59.680000,58.009998,58.049999,54.398052,15566400
2020-02-04,58.070000,58.570000,57.650002,58.290001,54.622955,13924600
2020-02-05,58.529999,59.189999,58.419998,59.130001,55.410114,10271900
2020-02-06,59.200001,59.669998,59.060001,59.439999,55.700607,10283700
2020-02-07,59.660000,60.150002,59.540001,59.939999,56.169144,9418100
2020-02-10,59.930000,60.240002,59.770000,60.240002,56.450279,8270200
2020-02-11,60.189999,60.349998,58.259998,58.689999,54.997791,22488200
2020-02-12,58.580002,58.860001,58.119999,58.230000,54.566730,20938000
2020-02-13,58.369999,58.830002,57.950001,58.650002,54.960308,19460100
2020-02-14,58.700001,58.810001,58.279999,58.509998,54.829113,9138900
2020-02-18,58.759998,58.759998,57.810001,57.910000,54.266861,12427300
2020-02-19,58.130001,58.580002,57.759998,58.220001,54.557358,13642800
2020-02-20,58.090000,58.360001,57.939999,58.090000,54.435539,16748600
2020-02-21,57.910000,58.250000,57.799999,58.200001,54.538616,15704300
2020-02-24,58.169998,58.689999,57.980000,57.990002,54.341831,18520900
2020-02-25,58.040001,58.400002,56.860001,57.119999,53.526558,19384900
2020-02-26,57.380001,57.869999,56.900002,57.139999,53.545303,16803600
2020-02-27,56.779999,57.380001,55.029999,55.060001,51.596157,25907200
2020-02-28,53.740002,54.180000,52.180000,54.160000,50.752773,45828300
2020-03-02,55.160000,57.540001,54.880001,57.320000,53.713978,30736200
2020-03-03,57.209999,58.049999,55.220001,55.700001,52.195889,27500200
2020-03-04,56.610001,58.250000,56.110001,58.119999,54.463654,17626400
2020-03-05,56.869999,57.520000,56.490002,57.160000,53.564041,21249900
2020-03-06,55.290001,57.209999,55.099998,56.869999,53.292282,22510800
2020-03-09,54.369999,57.580002,54.009998,55.830002,52.317722,31862200
2020-03-10,56.070000,56.889999,53.919998,56.520000,52.964306,34330900
2020-03-11,55.360001,55.529999,54.189999,54.830002,51.380627,21147400
2020-03-12,51.950001,54.000000,50.750000,51.200001,47.978989,45610600
2020-03-13,53.000000,54.369999,51.450001,54.169998,50.762142,45744000
