Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,80.360001,80.760002,79.330002,79.459999,79.459999,2873600
2020-02-04,80.150002,81.889999,79.230003,81.510002,81.510002,4597800
2020-02-05,81.959999,82.709999,81.750000,81.790001,81.790001,2758800
2020-02-06,82.129997,83.080002,82.000000,82.769997,82.769997,2976200
2020-02-07,83.370003,85.790001,82.260002,85.440002,85.440002,6740600
2020-02-10,85.410004,85.650002,84.379997,84.529999,84.529999,3423100
2020-02-11,93.699997,95.230003,92.660004,94.489998,94.489998,25874400
2020-02-12,94.000000,96.269997,93.919998,95.669998,95.669998,8915500
2020-02-13,95.120003,96.150002,94.800003,95.139999,95.139999,5490500
2020-02-14,95.260002,96.620003,95.019997,96.480003,96.480003,3045900
2020-02-18,96.849998,100.019997,96.279999,99.879997,99.879997,7460100
2020-02-19,101.160004,101.349998,99.639999,100.489998,100.489998,6091300
2020-02-20,100.099998,100.419998,98.230003,99.500000,99.500000,6350400
2020-02-21,98.970001,99.489998,96.620003,98.570000,98.570000,12101000
2020-02-24,96.129997,97.309998,95.879997,96.370003,96.370003,4700900
2020-02-25,96.559998,97.000000,94.449997,94.580002,94.580002,5117500
2020-02-26,94.680000,95.660004,93.440002,93.650002,93.650002,4371300
2020-02-27,92.830002,93.320000,91.160004,91.239998,91.239998,5856400
2020-02-28,89.440002,90.500000,87.480003,90.160004,90.160004,6957600
2020-03-02,90.279999,93.360001,88.980003,93.290001,93.290001,5160600
2020-03-03,92.629997,93.919998,88.769997,89.370003,89.370003,5702000
2020-03-04,90.430000,93.959999,90.250000,93.809998,93.809998,5222200
2020-03-05,91.610001,93.160004,89.190002,89.860001,89.860001,4941300
2020-03-06,86.099998,88.279999,85.419998,87.860001,87.860001,5978500
2020-03-09,83.269997,84.889999,79.580002,79.750000,79.750000,7946600
2020-03-10,81.980003,85.010002,80.209999,84.980003,84.980003,6713600
2020-03-11,82.860001,87.830002,82.849998,86.449997,86.449997,8840300
2020-03-12,82.019997,85.000000,76.410004,76.760002,76.760002,9075300
2020-03-13,80.150002,85.519997,76.610001,85.389999,85.389999,7401700
2020-03-16,78.339996,80.550003,74.839996,76.529999,76.529999,6787700
2020-03-17,77.599998,80.400002,75.449997,78.349998,78.349998,7609100
2020-03-18,74.599998,76.099998,63.500000,74.320000,74.320000,11114200
2020-03-19,74.769997,81.989998,73.610001,79.449997,79.449997,8906200
2020-03-20,80.000000,82.000000,73.160004,74.550003,74.550003,6836600
2020-03-23,74.980003,76.660004,70.830002,75.699997,75.699997,8328800
2020-03-24,78.500000,79.709999,75.830002,78.650002,78.650002,5929100
2020-03-25,77.769997,85.470001,77.750000,79.169998,79.169998,6252700
2020-03-26,80.000000,84.989998,79.730003,84.629997,84.629997,4821300
2020-03-27,82.540001,83.900002,81.019997,81.720001,81.720001,4309600
2020-03-30,82.290001,83.860001,81.239998,83.120003,83.120003,5625200
2020-03-31,83.040001,84.750000,81.980003,83.900002,83.900002,6920600
2020-04-01,82.989998,86.709999,82.699997,85.129997,85.129997,11018800
2020-04-02,85.050003,88.519997,84.019997,84.410004,84.410004,22956100
2020-04-03,84.559998,84.989998,81.040001,81.980003,81.980003,8378500
2020-04-06,84.489998,86.489998,82.989998,86.089996,86.089996,5256300
2020-04-07,87.660004,87.910004,85.169998,86.510002,86.510002,4410100
2020-04-08,86.599998,87.639999,86.000000,86.849998,86.849998,3831600
2020-04-09,86.879997,87.750000,84.930000,85.900002,85.900002,5770900
2020-04-13,84.589996,87.279999,84.470001,86.169998,86.169998,3955700
2020-04-14,87.190002,89.940002,86.400002,89.620003,89.620003,4787100
2020-04-15,87.919998,89.389999,87.099998,88.540001,88.540001,5804000
2020-04-16,89.110001,90.580002,88.070000,90.269997,90.269997,4796400
2020-04-17,92.750000,93.300003,89.860001,90.989998,90.989998,3847500
2020-04-20,89.580002,91.730003,89.050003,89.940002,89.940002,3508700
2020-04-21,89.250000,89.889999,86.099998,87.220001,87.220001,3946400
2020-04-22,89.879997,90.650002,88.279999,90.160004,90.160004,4261100
2020-04-23,90.680000,91.879997,89.290001,90.339996,90.339996,4537100
2020-04-24,90.389999,91.000000,89.010002,90.800003,90.800003,3564100
2020-04-27,91.320000,91.379997,89.019997,90.910004,90.910004,3726300
2020-04-28,91.239998,91.410004,87.889999,87.940002,87.940002,3356500
2020-04-29,89.040001,90.029999,87.970001,89.309998,89.309998,3110700
2020-04-30,88.900002,89.019997,87.300003,87.800003,87.800003,3938100
2020-05-01,87.739998,88.110001,85.809998,86.199997,86.199997,3162000
2020-05-04,86.769997,88.970001,86.059998,88.959999,88.959999,4212200
2020-05-05,88.779999,89.769997,88.440002,88.970001,88.970001,3020100
2020-05-06,89.220001,89.730003,86.410004,86.589996,86.589996,3840900
2020-05-07,90.349998,95.400002,90.230003,95.290001,95.290001,10442000
2020-05-08,96.639999,98.769997,95.029999,98.519997,98.519997,4851100
2020-05-11,96.480003,97.459999,95.980003,96.720001,96.720001,3732800
2020-05-12,96.180000,96.669998,94.550003,94.610001,94.610001,3773600
2020-05-13,94.389999,94.529999,91.500000,92.779999,92.779999,3256900
2020-05-14,92.540001,95.070000,92.160004,94.910004,94.910004,3990100
2020-05-15,95.019997,97.669998,93.730003,97.320000,97.320000,6715500
2020-05-18,98.160004,102.730003,98.070000,101.900002,101.900002,6383600
2020-05-19,98.410004,99.760002,96.150002,98.599998,98.599998,21394500
2020-05-20,99.139999,99.800003,97.800003,98.139999,98.139999,5978700
2020-05-21,98.750000,98.750000,93.000000,94.389999,94.389999,5586900
2020-05-22,94.540001,96.720001,94.349998,95.800003,95.800003,4849300
2020-05-26,96.919998,97.239998,94.459999,95.570000,95.570000,5007200
2020-05-27,95.660004,98.169998,95.059998,97.199997,97.199997,4540400
2020-05-28,97.519997,99.830002,97.150002,99.220001,99.220001,5457700
2020-05-29,99.269997,100.400002,97.320000,100.040001,100.040001,9777300
2020-06-01,99.959999,101.000000,99.320000,99.699997,99.699997,2903300
2020-06-02,98.660004,100.500000,98.510002,100.410004,100.410004,4720200
2020-06-03,100.910004,102.349998,100.440002,101.209999,101.209999,3756300
2020-06-04,101.540001,101.690002,99.790001,100.169998,100.169998,2534100
2020-06-05,101.300003,102.970001,100.500000,101.129997,101.129997,3957900
2020-06-08,100.739998,105.110001,100.440002,104.459999,104.459999,5043500
2020-06-09,102.180000,103.540001,101.769997,103.190002,103.190002,5037000
2020-06-10,102.809998,106.720001,102.809998,105.790001,105.790001,6273500
2020-06-11,104.510002,105.309998,100.739998,100.889999,100.889999,7689300
2020-06-12,104.250000,105.050003,100.260002,102.309998,102.309998,5289300
2020-06-15,101.320000,105.190002,100.730003,104.680000,104.680000,3842000
2020-06-16,104.000000,104.000000,100.110001,102.889999,102.889999,5766100
2020-06-17,103.000000,104.800003,102.339996,102.629997,102.629997,3757400
2020-06-18,103.820000,106.839996,103.250000,106.389999,106.389999,4698900
2020-06-19,107.339996,109.000000,106.389999,106.900002,106.900002,9268300
2020-06-22,106.860001,108.699997,106.029999,106.599998,106.599998,5090500
2020-06-23,103.699997,110.459999,103.500000,107.160004,107.160004,22929100
2020-06-24,105.459999,109.139999,104.570000,108.430000,108.430000,66903100
2020-06-25,109.779999,111.580002,108.510002,110.190002,110.190002,55407300
2020-06-26,109.150002,109.849998,104.730003,105.199997,105.199997,25367800
2020-06-29,105.790001,106.260002,103.949997,105.959999,105.959999,9096800
